NCM;DESC_NCM;CATEGORIA
38082029;Outros fungicidas apresentados de outro modo;DEFENSIVOS
38083010;Herbicidas para uso domissanitario direto;DEFENSIVOS
38083021;Herbicida à base de 2, 4-d/de 2, 4-db/seus derivados/de mcpa;DEFENSIVOS
38083022;Herbicida à base de atrazina, alaclor, diuron ou ametrina;DEFENSIVOS
38083023;Herbicida à base glifosato, seus sais, de imazaquim, etc;DEFENSIVOS
38083024;Herbicida à base de dicloreto de paraquat, propanil, etc.;DEFENSIVOS
38083025;Herbicida à base de pentaclorofenol/seus sais, etc.;DEFENSIVOS
38083026;Herbicida à base de imazetapir;DEFENSIVOS
38083029;Outros herbicidas apresentados de outro modo;DEFENSIVOS
38083031;Inibidores de germinação para uso domissanitario direto;DEFENSIVOS
38083032;Outros inibidores de germinação apresentados de outro modo;DEFENSIVOS
38083040;Reguladores de crescimento de plantas, para uso domissanitário direto;DEFENSIVOS
38083059;Outros reguladores de crescimento de plantas, apresentados de outro modo;DEFENSIVOS
38084010;Desinfetantes para uso domissanitário direto;DEFENSIVOS
38084021;Desinfetante à base de thiram;DEFENSIVOS
38084022;Desinfetante à base de 2-(tiocianometiltio)benzotiazol;DEFENSIVOS
38084029;Outros desinfetantes apresentados de outro modo;DEFENSIVOS
38085010;Inseticidas, rodenticidas, fungicidas, herbicidas, apresentados em formas ou embalagens exclusivamente para uso direto em aplicações domissanitárias;DEFENSIVOS
38085021;Inseticida à base de metamidofós ou monocrotofós;DEFENSIVOS
38085029;Outros inseticidas, apresentados de outro modo;DEFENSIVOS
38085910;Outras mercadorias mencionadas na Nota de subposições 1 do presente Capítulo, apresentadas em formas ou embalagens exclusivamente para uso direto em aplicações domissanitárias;DEFENSIVOS
38085929;Mercadorias à base de outras substâncias, apresentadas de outro modo;DEFENSIVOS
38086100;Mercadorias mencionadas na Nota de subposições 2 do presente Capítulo, acondicionadas em embalagens com um conteúdo de peso líquido não superior a 300 g;DEFENSIVOS
38086210;Mercadorias mencionadas na Nota de subposições 2 do presente Capítulo, acondicionadas em embalagens com um conteúdo de peso líquido superior a 300 g, mas não superior a 7,5 kg, à base de alfa-cipermetrina (ISO);DEFENSIVOS
38086290;Outras mercadorias mencionadas na Nota de subposições 2 do presente Capítulo, acondicionadas em embalagens com um conteúdo de peso líquido não superior a 300 g;DEFENSIVOS
38086910;Outras mercadorias mencionadas na Nota de subposições 2 do presente Capítulo, à base de alfa-cipermetrina (ISO);DEFENSIVOS
38086990;Outras mercadorias mencionadas na Nota de subposições 2 do presente Capítulo,;DEFENSIVOS
38089010;Rodenticidas/outros produtos semelhante, para uso domissanitário direto;DEFENSIVOS
38089021;Acaricidas à base amitraz, clorfenvinfos, metamidofos, etc;DEFENSIVOS
38089022;Acaricidas à base de ciexatin, óxido de fembutatin, etc.;DEFENSIVOS
38089023;Outros acaricidas apresentados de outro modo;DEFENSIVOS
38089025;Outros nematicidas apresentados de outro modo;DEFENSIVOS
38089026;Raticidas apresentados de outro modo;DEFENSIVOS
38089029;Outros rodenticidas/produtos semelhantes, apresentados de outro modo;DEFENSIVOS
38089110;Inseticidas embalagens para uso domissanitário direto;DEFENSIVOS
38089119;Outros inseticidas apresentados em formas ou embalagens exclusivamente para uso direto em aplicações domissanitárias;DEFENSIVOS
38089120;Inseticidas apresentados de outro modo, contendo bromometano (brometo de metila) ou bromoclorometano;DEFENSIVOS
38089121;Inseticidas à base de acefato;DEFENSIVOS
38089122;Inseticidas à base de cipermetrinas ou permetrina;DEFENSIVOS
38089125;Inseticida à base de fosfeto de alumínio;DEFENSIVOS
38089126;Inseticida à base de triclorfon ou diclorvós;DEFENSIVOS
38089127;Inseticida à base de óleo mineral ou tiometon;DEFENSIVOS
38089129;Outros inseticidas, apresentados de outro modo;DEFENSIVOS
38089191;Inseticida à base de acefato ou de Bacillus thuringiensis, apresentado de outro modo;DEFENSIVOS
38089192;Inseticida à base de cipermetrinas ou de permetrina, apresentado de outro modo;DEFENSIVOS
38089195;Inseticida à base de fosfeto de alumínio, apresentado de outro modo;DEFENSIVOS
38089196;Inseticida à base de diclorvós ou de triclorfon, apresentado de outro modo;DEFENSIVOS
38089197;Inseticida à base de óleo mineral ou de tiometon, apresentado de outro modo;DEFENSIVOS
38089199;Outros inseticidas, apresentados de outro modo;DEFENSIVOS
38089210;Fungicidas embalados para uso domissanitário direto;DEFENSIVOS
38089219;Outros fungicidas, apresentados em formas ou embalagens exclusivamente para uso direto em aplicações domissanitárias;DEFENSIVOS
38089220;Fungicidas apresentados de outro modo, contendo bromometano (brometo de metila) ou bromoclorometano;DEFENSIVOS
38089221;Fungicidas à base de hidróxido de cobre, óxido cuproso;DEFENSIVOS
38089222;Fungicida à base de ziram ou de enxofre;DEFENSIVOS
38089223;Fungicida à base de mancozeb ou maneb;DEFENSIVOS
38089225;Fungicida à base de composto de cromo, cobre, arsênio;DEFENSIVOS
38089226;Fungicida à base de thiram;DEFENSIVOS
38089229;Outros fungicidas apresentados de outro modo;DEFENSIVOS
38089291;Fungicidas à base de hidróxido de cobre, de oxicloreto de cobre ou de óxido cuproso;DEFENSIVOS
38089292;Fungicida à base de enxofre ou de ziram;DEFENSIVOS
38089293;Fungicida à base de mancozeb ou de maneb;DEFENSIVOS
38089295;Fungicida à base de compostos de arsênio, cobre ou cromo, exceto os produtos do subitem 3808.92.91;DEFENSIVOS
38089296;Fungicida à base de thiram;DEFENSIVOS
38089297;Fungicida à base de propiconazol;DEFENSIVOS
38089299;Outros fungicidas apresentados de outro modo;DEFENSIVOS
38089310;Herbicidas embalados para uso domissanitário direto;DEFENSIVOS
38089311;Herbicidas apresentados em formas ou embalagens exclusivamente para uso direto em aplicações domissanitárias, que contenham bromometano (brometo de metila) ou bromoclorometano;DEFENSIVOS
38089319;Outros herbicidas apresentados em formas ou embalagens exclusivamente para uso direto em aplicações domissanitárias;DEFENSIVOS
38089321;Herbicidas apresentados de outro modo, que contenham bromometano (brometo de metila) ou bromoclorometano;DEFENSIVOS
38089322;Outros herbicidas apresentados de outro modo, à base de ácido 2,4-diclorofenoxiacético (2,4-D), de ácido 4-(2,4-diclorofenoxi)butírico (2,4-DB), de ácido (4-cloro-2-metil)fenoxiacético (MCPA) ou de derivados de 2,4-D ou 2,4-DB;DEFENSIVOS
38089323;Herbicida à base de alaclor, de ametrina, de atrazina ou de diuron;DEFENSIVOS
38089324;Herbicida à base de glifosato ou seus sais, de imazaquim ou de lactofen;DEFENSIVOS
38089325;Herbicida à base de dicloreto de paraquat, de propanil ou de simazina;DEFENSIVOS
38089326;Herbicida à base de trifluralina;DEFENSIVOS
38089327;Herbicida à base de imazetapir;DEFENSIVOS
38089328;Herbicidas à base de hexazinona;DEFENSIVOS
38089329;Outros herbicidas apresentados de outro modo;DEFENSIVOS
38089331;Inibidores de germinação, que contenham bromometano (brometo de metila) ou bromoclorometano;DEFENSIVOS
38089333;Outros inibidores de germinação apresentados de outro modo;DEFENSIVOS
38089349;Outros reguladores de crescimento das plantas apresentados em formas ou embalagens exclusivamente para uso direto em aplicações domissanitárias;DEFENSIVOS
38089352;Reguladores de crescimento das plantas, apresentados de outro modo, à base de hidrazida maléica;DEFENSIVOS
38089359;Outros reguladores de crescimento das plantas, apresentados de outro modo;DEFENSIVOS
38089410;Desinfetantes embalados para venda a retalho;DEFENSIVOS
38089411;Desinfetantes, apresentados em formas ou embalagens exclusivamente para uso direto em aplicações domissanitárias, que contenham bromometano (brometo de metila) ou bromoclorometano;DEFENSIVOS
38089419;Outros desinfetantes, apresentados em formas ou embalagens exclusivamente para uso direto em aplicações domissanitárias;DEFENSIVOS
38089421;Desinfetantes apresentados de outro modo, que contenham bromometano (brometo de metila) ou bromoclorometano;DEFENSIVOS
38089422;Desinfetantes apresentados de outro modo, à base de 2-(tiocianometiltio) benzotiazol;DEFENSIVOS
38089429;Outros desinfetantes apresentados de outro modo;DEFENSIVOS
38089910;Outros rodenticidas e semelhantes, embalados para uso domissanitário direto;DEFENSIVOS
38089911;Rodenticidas apresentados em formas ou embalagens exclusivamente para uso direto em aplicações domissanitárias, que contenham bromometano (brometo de metila) ou bromoclorometano;DEFENSIVOS
38089919;Outros rodenticidas apresentados em formas ou embalagens exclusivamente para uso direto em aplicações domissanitárias;DEFENSIVOS
38089920;Outros rodenticidas apresentados de outro modo, contendo bromometano (brometo de metila) ou bromoclorometano;DEFENSIVOS
38089921;Acaricidas à base de amitraz, clorfenvinfós, etc;DEFENSIVOS
38089923;Outros acaricidas não apresentados para venda a varejo;DEFENSIVOS
38089926;Raticidas não apresentados para venda a varejo;DEFENSIVOS
38089929;Outros rodenticidas e preparações semelhantes, não apresentados para venda a varejo;DEFENSIVOS
38089991;Acaricidas à base de amitraz, de clorfenvinfós ou de propargite;DEFENSIVOS
38089993;Outros acaricidas;DEFENSIVOS
38089994;Nematicidas à base de metam sódio;DEFENSIVOS
38089995;Outros nematicidas apresentados de outro modo;DEFENSIVOS
38089996;Raticidas apresentados de outro modo;DEFENSIVOS
38089999;Outros rodenticidas apresentados de outro modo;DEFENSIVOS
7011000;Batatas, frescas ou refrigeradas, para semeadura;SEMENTES
7031011;Cebolas, frescas ou refrigeradas, para semeadura;SEMENTES
7031021;Chalotas, frescas ou refrigeradas, para semeadura;SEMENTES
7032010;Alhos, frescos ou refrigerados, para semeadura;SEMENTES
7039010;Alhos-porros e outros produtos hortícolas aliáceos, frescos ou refrigerados, para semeadura;SEMENTES
7099011;Milho doce, para semeadura;SEMENTES
7131010;Ervilhas (Pisum sativum), secos, em grão, mesmo pelados ou partidos, para semeadura;SEMENTES
7132010;Grão-de-bico, seco, para semeadura;SEMENTES
7133110;Feijões (vigna mungo ou radiata) secos, para semeadura;SEMENTES
7133210;Feijão-adzuki (Phaseolus ou Vigna angularis), seco, para semeadura;SEMENTES
7133311;Feijão comum ((Phaseolus vulgaris), preto, seco, para semeadura;SEMENTES
7133321;Feijão comum, branco, seco, para semeadura;SEMENTES
7133391;Outros feijões comuns, secos, para semeadura;SEMENTES
7133510;Feijão-fradinho (Vigna unguiculata), para semeadura;SEMENTES
7133910;Outros feijões (Vigna ou Phaseolus), secos, para semeadura;SEMENTES
7134010;Lentilhas secas, para semeadura;SEMENTES
7135010;Favas (Vicia faba var. major) e fava forrageira (Vicia faba var. equina, Vicia faba var. minor), secas, para semeadura;SEMENTES
7139010;Outros legumes de vagem, secos, em grãos, para semeadura;SEMENTES
82019000;Outras ferramentas manuais para agricultura, horticultura e silvicultura;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
82084000;Facas e lâminas cortantes, para máquinas ou para aparelhos mecânicos, para máquinas de agricultura, horticultura ou silvicultura;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84244100;Pulverizadores portáteis, para agricultura ou horticultura;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84244900;Outros pulverizadores, para a agricultura ou horticultura;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84248111;Aparelhos manuais para projetar, dispersar ou pulverizar fungicidas, inseticidas e outros produtos para combate a pragas;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84248119;Outros aparelhos para pulverizar fungicidas/inseticidas, etc.;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84248121;Irrigadores e sistemas de irrigação, por aspersão;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84248129;Outros aparelhos irrigadores e sistemas de irrigação;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84248190;Outros aparelhos para agricultura ou horticultura;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84248221;Irrigadores e sistemas de irrigação por aspersão, para agricultura ou horticultura;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84248229;Irrigadores e sistemas de irrigação para a agricultura ou horticultura, exceto por aspersão;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84248290;Outros aparelhos para agricultura ou horticultura;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84321000;Arados e charruas;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84322100;Grades de discos, de uso agrícola, hortícola ou florestal, para preparação ou trabalho do solo ou para cultura;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84322900;Outras grades, escarificadores, cultivadores, enxadas, etc.;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84323010;Semeadores-adubadores;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84323090;Outros semeadores, plantadores e transplantadores;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84323110;Semeadores-adubadores, de plantio direto;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84323190;Plantadores e transplantadores, de plantio direto;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84323910;Semeadores-adubadores, exceto para plantio direto;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84323990;Plantadores e transplantadores, exceto de plantio direto;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84324000;Espalhadores de estrume e distribuidores de adubos (fertilizantes);MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84324100;Espalhadores de estrume;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84324200;Distribuidores de adubos (fertilizantes);MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84328000;Outras máquinas e aparelhos de uso agrícola, hortícola ou florestal, para preparação ou trabalho do solo;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84329000;Partes de máquinas e aparelhos de uso agrícola, hortícola ou florestal, para preparação ou trabalho do solo;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84331100;Cortadores de grama, motorizados, cujo dispositivo de corte gira num plano horizontal;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84331900;Outros cortadores de grama;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84332010;Ceifeiras, incluindo as barras de corte para montagem em tratores, com dispositivo de acondicionamento em fileiras constituído por rotor de dedos e pente;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84332090;Outras ceifeiras, incluindo as barras de corte para montagem em tratores;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84333000;Outras máquinas e aparelhos para colher e dispor o feno;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84334000;Enfardadeiras de palha ou de forragem, incluindo as enfardadeiras-apanhadeiras;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84335100;Colheitadeiras combinadas com debulhadoras;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84335200;Outras máquinas e aparelhos para debulha;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84335300;Máquinas para colheita de raízes ou tubérculos;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84335911;Colheitadeiras de algodão, com capacidade para trabalhar até dois sulcos de colheita e potência no volante inferior ou igual a 59,7 kW (80 HP);MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84335919;Outras colheitadeiras de algodão;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84335990;Outras máquinas e aparelhos para colheita;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84336010;Selecionadores de frutas;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84336021;Máquinas para limpar ou selecionar ovos, com capacidade superior ou igual a 250.000 ovos por hora;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84336029;Outras máquinas para limpar ou selecionar ovos;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84336090;Máquinas para limpar/selecionar ovos e outros produtos agricolas;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84339010;Partes de cortadores de grama;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84339090;Partes de outras máquinas e aparelhos para colheita, debulha, etc.;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84341000;Máquinas de ordenhar;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84342010;Máquinas e aparelhos para tratamento do leite;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84342090;Outras máquinas e aparelhos para a indústria de lacticínios;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84349000;Partes de máquinas e aparelhos de ordenhar/indústria de laticínios;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84351000;Máquinas e aparelhos para fabricação de vinho, sidra, suco de frutas, etc.;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84359000;Partes de máquinas e aparelhos para fabricação de vinho, sidra, etc.;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84361000;Máquinas e aparelhos para preparação de alimentos ou rações para animais;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84362100;Chocadeiras e criadeiras, para avicultura;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84362900;Outras máquinas e aparelhos para avicultura;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84368000;Outras máquinas e aparelhos para agricultura, horticultura, etc;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84369100;Partes de máquinas e aparelhos para avicultura;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84369900;Partes de máquinas e aparelhos para agricultura, horticultura, etc.;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84371000;Máquinas para limpeza, seleção, etc, de grãos, produtos hortícolas, secos;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84378010;Máquinas e aparelhos para trituração ou moagem de grãos;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84378090;Outras máquinas e aparelhos para a indústria de moagem, tratamento de cereais, etc;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
84379000;Partes de máquinas e aparelhos para limpeza, seleção, etc, de grãos;MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
87079010;"Carrocerias pata """"dumpers""""/tratores, exceto rodoviário, inclusive cabina";MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
87082912;"Grades de radiadores para """"dumpers""""/tratores, exceto de uso rodoviário";MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
87082913;"Portas para """"dumpers"""" e tratores exceto os rodoviários";MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
87083011;"Guarnições de freios, montadas, para tratores e """"dumpers""""";MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
87083110;"Guarnições de freios montadas para """"dumpers"""" e tratores";MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
87084010;"Caixas de marchas para """"dumpers""""/tratores, exceto rodoviários";MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
87084011;"Servo-assistidas, próprias para torques de entrada superiores ou iguais a 750 Nm, de tratores/""""dumpers""""";MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
87084019;"Outras caixas de marchas para tratores ou """"dumpers""""";MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
87085010;"Eixos de transmissão com diferencial para """"dumpers""""/tratores";MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
87085012;"Eixos e partes, exceto de transmissão, para tratores/""""dumpers""""";MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
87085019;"Eixos de transmissão com diferencial para """"dumpers""""/tratores";MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
87085091;"Eixos e partes, exceto de transmissão, para tratores/""""dumpers""""";MÁQUINAS, EQUIPAMENTOS E ACESSÓRIOS
