NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N
1,Brasil,1020,Unidades,84,1,Brasil,630,Número de empresas,2021,2021,116927,10.51-1 Preparação do leite
1,Brasil,1020,Unidades,435,1,Brasil,630,Número de empresas,2021,2021,116928,10.52-0 Fabricação de laticínios
1,Brasil,1020,Unidades,168,1,Brasil,630,Número de empresas,2021,2021,116929,10.53-8 Fabricação de sorvetes e outros gelados comestíveis
1,Brasil,1020,Unidades,738,1,Brasil,630,Número de empresas,2021,2021,116930,"10.6 Moagem, fabricação de produtos amiláceos e de alimentos para animais"
1,Brasil,1020,Unidades,144,1,Brasil,630,Número de empresas,2021,2021,116931,10.61-9 Beneficiamento de arroz e fabricação de produtos do arroz
1,Brasil,1020,Unidades,105,1,Brasil,630,Número de empresas,2021,2021,116932,10.62-7 Moagem de trigo e fabricação de derivados
1,Brasil,1020,Unidades,25,1,Brasil,630,Número de empresas,2021,2021,116933,10.63-5 Fabricação de farinha de mandioca e derivados
1,Brasil,1020,Unidades,61,1,Brasil,630,Número de empresas,2021,2021,116934,"10.64-3 Fabricação de farinha de milho e derivados, exceto óleos de milho"
1,Brasil,1020,Unidades,53,1,Brasil,630,Número de empresas,2021,2021,116935,10.65-1 Fabricação de amidos e féculas de vegetais e de óleos de milho
1,Brasil,1020,Unidades,314,1,Brasil,630,Número de empresas,2021,2021,116936,10.66-0 Fabricação de alimentos para animais
1,Brasil,1020,Unidades,36,1,Brasil,630,Número de empresas,2021,2021,116937,10.69-4 Moagem e fabricação de produtos de origem vegetal não especificados anteriormente
1,Brasil,1020,Unidades,98,1,Brasil,630,Número de empresas,2021,2021,116938,10.7 Fabricação e refino de açúcar
1,Brasil,1020,Unidades,91,1,Brasil,630,Número de empresas,2021,2021,116939,10.71-6 Fabricação de açúcar em bruto
1,Brasil,1020,Unidades,7,1,Brasil,630,Número de empresas,2021,2021,116940,10.72-4 Fabricação de açúcar refinado
1,Brasil,1020,Unidades,74,1,Brasil,630,Número de empresas,2021,2021,116941,10.8 Torrefação e moagem de café
1,Brasil,1020,Unidades,67,1,Brasil,630,Número de empresas,2021,2021,116942,10.81-3 Torrefação e moagem de café
1,Brasil,1020,Unidades,7,1,Brasil,630,Número de empresas,2021,2021,116943,10.82-1 Fabricação de produtos à base de café
1,Brasil,1020,Unidades,1862,1,Brasil,630,Número de empresas,2021,2021,116944,10.9 Fabricação de outros produtos alimentícios
1,Brasil,1020,Unidades,924,1,Brasil,630,Número de empresas,2021,2021,116945,10.91-1 Fabricação de produtos de panificação
1,Brasil,1020,Unidades,147,1,Brasil,630,Número de empresas,2021,2021,116946,10.92-9 Fabricação de biscoitos e bolachas
1,Brasil,1020,Unidades,115,1,Brasil,630,Número de empresas,2021,2021,116947,"10.93-7 Fabricação de produtos derivados do cacau, de chocolates e confeitos"
1,Brasil,1020,Unidades,181,1,Brasil,630,Número de empresas,2021,2021,116948,10.94-5 Fabricação de massas alimentícias
1,Brasil,1020,Unidades,84,1,Brasil,630,Número de empresas,2021,2021,116949,"10.95-3 Fabricação de especiarias, molhos, temperos e condimentos"
1,Brasil,1020,Unidades,62,1,Brasil,630,Número de empresas,2021,2021,116950,10.96-1 Fabricação de alimentos e pratos prontos
1,Brasil,1020,Unidades,349,1,Brasil,630,Número de empresas,2021,2021,116951,10.99-6 Fabricação de produtos alimentícios não especificados anteriormente
1,Brasil,1020,Unidades,457,1,Brasil,630,Número de empresas,2021,2021,116952,11 Fabricação de bebidas
1,Brasil,1020,Unidades,149,1,Brasil,630,Número de empresas,2021,2021,116953,11.1 Fabricação de bebidas alcoólicas
1,Brasil,1020,Unidades,40,1,Brasil,630,Número de empresas,2021,2021,116954,11.11-9 Fabricação de aguardentes e outras bebidas destiladas
1,Brasil,1020,Unidades,50,1,Brasil,630,Número de empresas,2021,2021,116955,11.12-7 Fabricação de vinho
1,Brasil,1020,Unidades,59,1,Brasil,630,Número de empresas,2021,2021,116956,"11.13-5 Fabricação de malte, cervejas e chopes"
1,Brasil,1020,Unidades,308,1,Brasil,630,Número de empresas,2021,2021,116957,11.2 Fabricação de bebidas não-alcoólicas
1,Brasil,1020,Unidades,187,1,Brasil,630,Número de empresas,2021,2021,116958,11.21-6 Fabricação de águas envasadas
1,Brasil,1020,Unidades,121,1,Brasil,630,Número de empresas,2021,2021,116959,11.22-4 Fabricação de refrigerantes e de outras bebidas não-alcoólicas
1,Brasil,1020,Unidades,38,1,Brasil,630,Número de empresas,2021,2021,116960,12 Fabricação de produtos do fumo
1,Brasil,1020,Unidades,16,1,Brasil,630,Número de empresas,2021,2021,116961,12.1 Processamento industrial do fumo
1,Brasil,1020,Unidades,16,1,Brasil,630,Número de empresas,2021,2021,116962,12.10-7 Processamento industrial do fumo
1,Brasil,1020,Unidades,22,1,Brasil,630,Número de empresas,2021,2021,116963,12.2 Fabricação de produtos do fumo
1,Brasil,1020,Unidades,22,1,Brasil,630,Número de empresas,2021,2021,116964,12.20-4 Fabricação de produtos do fumo
1,Brasil,1020,Unidades,1307,1,Brasil,630,Número de empresas,2021,2021,116965,13 Fabricação de produtos têxteis
1,Brasil,1020,Unidades,157,1,Brasil,630,Número de empresas,2021,2021,116966,13.1 Preparação e fiação de fibras têxteis
1,Brasil,1020,Unidades,91,1,Brasil,630,Número de empresas,2021,2021,116967,13.11-1 Preparação e fiação de fibras de algodão
1,Brasil,1020,Unidades,18,1,Brasil,630,Número de empresas,2021,2021,116968,"13.12-0 Preparação e fiação de fibras têxteis naturais, exceto algodão"
1,Brasil,1020,Unidades,32,1,Brasil,630,Número de empresas,2021,2021,116969,13.13-8 Fiação de fibras artificiais e sintéticas
1,Brasil,1020,Unidades,16,1,Brasil,630,Número de empresas,2021,2021,116970,13.14-6 Fabricação de linhas para costurar e bordar
1,Brasil,1020,Unidades,247,1,Brasil,630,Número de empresas,2021,2021,116971,"13.2 Tecelagem, exceto malha"
1,Brasil,1020,Unidades,126,1,Brasil,630,Número de empresas,2021,2021,116972,13.21-9 Tecelagem de fios de algodão
1,Brasil,1020,Unidades,12,1,Brasil,630,Número de empresas,2021,2021,116973,"13.22-7 Tecelagem de fios de fibras têxteis naturais, exceto algodão"
1,Brasil,1020,Unidades,109,1,Brasil,630,Número de empresas,2021,2021,116974,13.23-5 Tecelagem de fios de fibras artificiais e sintéticas
1,Brasil,1020,Unidades,136,1,Brasil,630,Número de empresas,2021,2021,116975,13.3 Fabricação de tecidos de malha
1,Brasil,1020,Unidades,136,1,Brasil,630,Número de empresas,2021,2021,116976,13.30-8 Fabricação de tecidos de malha
1,Brasil,1020,Unidades,239,1,Brasil,630,Número de empresas,2021,2021,116977,"13.4 Acabamentos em fios, tecidos e artefatos têxteis"
1,Brasil,1020,Unidades,239,1,Brasil,630,Número de empresas,2021,2021,116978,"13.40-5 Acabamentos em fios, tecidos e artefatos têxteis"
1,Brasil,1020,Unidades,528,1,Brasil,630,Número de empresas,2021,2021,116979,"13.5 Fabricação de artefatos têxteis, exceto vestuário"
1,Brasil,1020,Unidades,168,1,Brasil,630,Número de empresas,2021,2021,116980,13.51-1 Fabricação de artefatos têxteis para uso doméstico
1,Brasil,1020,Unidades,32,1,Brasil,630,Número de empresas,2021,2021,116981,13.52-9 Fabricação de artefatos de tapeçaria
1,Brasil,1020,Unidades,42,1,Brasil,630,Número de empresas,2021,2021,116982,13.53-7 Fabricação de artefatos de cordoaria
1,Brasil,1020,Unidades,95,1,Brasil,630,Número de empresas,2021,2021,116983,"13.54-5 Fabricação de tecidos especiais, inclusive artefatos"
1,Brasil,1020,Unidades,191,1,Brasil,630,Número de empresas,2021,2021,116984,13.59-6 Fabricação de outros produtos têxteis não especificados anteriormente
1,Brasil,1020,Unidades,3672,1,Brasil,630,Número de empresas,2021,2021,116985,14 Confecção de artigos do vestuário e acessórios
1,Brasil,1020,Unidades,3607,1,Brasil,630,Número de empresas,2021,2021,116986,14.1 Confecção de artigos do vestuário e acessórios
1,Brasil,1020,Unidades,505,1,Brasil,630,Número de empresas,2021,2021,116987,14.11-8 Confecção de roupas íntimas
1,Brasil,1020,Unidades,2779,1,Brasil,630,Número de empresas,2021,2021,116988,"14.12-6 Confecção de peças do vestuário, exceto roupas íntimas"
1,Brasil,1020,Unidades,237,1,Brasil,630,Número de empresas,2021,2021,116989,14.13-4 Confecção de roupas profissionais
1,Brasil,1020,Unidades,86,1,Brasil,630,Número de empresas,2021,2021,116990,"14.14-2 Fabricação de acessórios do vestuário, exceto para segurança e proteção"
1,Brasil,1020,Unidades,65,1,Brasil,630,Número de empresas,2021,2021,116991,14.2 Fabricação de artigos de malharia e tricotagem
1,Brasil,1020,Unidades,30,1,Brasil,630,Número de empresas,2021,2021,116992,14.21-5 Fabricação de meias
