ano;id;sexo;faixa_et;idade;escol;av01_sesi;av02_senai;av03_sesi;av04_senai;av05_sesi;av06_senai;regiao;ocupado;faixa_renda;uf;peso_pond
2022;222513;Feminino;35 a 44;40;Superior completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Não sabe;Não sabe;Ótima;Ótima;Capital;Trabalha;2 a 3 SM;SE;0.398611872
2022;222514;Feminino;25 a 34;25;Fund. 1 completo;Nunca ouviu falar;Nunca ouviu falar;nan;nan;nan;nan;Interior;Não trabalha;1 a 2 SM;SE;0.398611872
2022;222515;Masculino;45 a 59;58;Fund. 1 completo;Conhece mais ou menos;Conhece só de ouvir falar;Boa;Boa;Boa;Boa;Interior;Trabalha;1 a 2 SM;SE;0.280917257
2022;222516;Feminino;35 a 44;36;Fund. 1 completo;Conhece só de ouvir falar;Conhece mais ou menos;Boa;Ótima;Ótima;Ótima;Interior;Não trabalha;1 a 2 SM;SE;0.398611872
2022;222517;Feminino;60 ou mais;68;Fund. 1 completo;Conhece só de ouvir falar;Conhece bem;Ótima;Ótima;Boa;Boa;Interior;Não trabalha;1 a 2 SM;SE;0.398611872
2022;222518;Feminino;35 a 44;41;Fund. 2 completo;Conhece só de ouvir falar;Conhece mais ou menos;Boa;Ótima;Não sabe;Ótima;Capital;Trabalha;1 a 2 SM;SE;0.398611872
2022;222519;Feminino;35 a 44;40;Fund. 2 completo;Conhece só de ouvir falar;Conhece mais ou menos;Boa;Ótima;Boa;Ótima;Capital;Trabalha;1 a 2 SM;SE;0.398611872
2022;222520;Masculino;25 a 34;32;Fund. 2 completo;Nunca ouviu falar;Conhece mais ou menos;nan;Ótima;nan;Ótima;Interior;Não trabalha;1 a 2 SM;SE;0.280917257
2022;222521;Feminino;16 a 24;23;Médio completo;Conhece mais ou menos;Conhece só de ouvir falar;Ótima;Ótima;Ótima;Ótima;Interior;Trabalha;1 a 2 SM;SE;0.398611872
2022;222522;Masculino;35 a 44;36;Médio completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Boa;Boa;Ótima;Ótima;Interior;Não trabalha;1 a 2 SM;SE;0.280917257
2022;222523;Masculino;25 a 34;34;Médio completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Não sabe;Ótima;Ótima;Ótima;Interior;Trabalha;1 a 2 SM;SE;0.280917257
2022;222524;Masculino;35 a 44;35;Médio completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Boa;Boa;Ótima;Ótima;Capital;Trabalha;1 a 2 SM;SE;0.280917257
2022;222525;Feminino;45 a 59;47;Médio completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Ótima;Ótima;Ótima;Ótima;Região metropolitana;Trabalha;1 a 2 SM;SE;0.398611872
2022;222526;Masculino;45 a 59;55;Médio completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Boa;Ótima;Ótima;Ótima;Capital;Trabalha;1 a 2 SM;SE;0.280917257
2022;222527;Feminino;45 a 59;52;Médio completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Ótima;Ótima;Ótima;Ótima;Interior;Não trabalha;1 a 2 SM;SE;0.398611872
2022;222528;Masculino;25 a 34;27;Médio completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Regular;nan;Regular;Interior;Trabalha;1 a 2 SM;SE;0.280917257
2022;222529;Feminino;16 a 24;23;Médio completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Regular;nan;Boa;Interior;Não trabalha;1 a 2 SM;SE;0.398611872
2022;222530;Masculino;25 a 34;28;Médio completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Boa;nan;Ótima;Capital;Não trabalha;1 a 2 SM;SE;0.280917257
2022;222531;Feminino;16 a 24;18;Médio completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Boa;nan;Regular;Capital;Trabalha;1 a 2 SM;SE;0.398611872
2022;222532;Feminino;35 a 44;36;Médio completo;Conhece só de ouvir falar;Conhece mais ou menos;Boa;Boa;Ótima;Ótima;Interior;Trabalha;1 a 2 SM;SE;0.398611872
2022;222533;Masculino;35 a 44;35;Médio completo;Conhece bem;Conhece bem;Ótima;Ótima;Ótima;Ótima;Interior;Trabalha;1 a 2 SM;SE;0.280917257
2022;222534;Masculino;45 a 59;54;Médio completo;Conhece só de ouvir falar;Conhece bem;Regular;Regular;Regular;Regular;Capital;Não trabalha;1 a 2 SM;SE;0.280917257
2022;222535;Feminino;25 a 34;33;Médio completo;Conhece só de ouvir falar;Conhece bem;Ótima;Ótima;Boa;Ótima;Capital;Trabalha;1 a 2 SM;SE;0.398611872
2022;222536;Masculino;25 a 34;27;Médio completo;Conhece só de ouvir falar;Conhece bem;Ótima;Ótima;Ótima;Ótima;Capital;Trabalha;1 a 2 SM;SE;0.280917257
2022;222537;Masculino;35 a 44;35;Médio completo;Nunca ouviu falar;Conhece bem;nan;Ótima;nan;Ótima;Interior;Trabalha;1 a 2 SM;SE;0.280917257
2022;222538;Feminino;25 a 34;29;Superior completo;Conhece mais ou menos;Conhece mais ou menos;Boa;Boa;Regular;Regular;Capital;Não trabalha;1 a 2 SM;SE;0.398611872
2022;222539;Feminino;25 a 34;29;Superior completo;Conhece só de ouvir falar;Conhece mais ou menos;Boa;Regular;Boa;Boa;Capital;Trabalha;1 a 2 SM;SE;0.398611872
2022;222540;Masculino;25 a 34;29;Superior completo;Conhece bem;Conhece bem;Boa;Boa;Boa;Boa;Capital;Trabalha;1 a 2 SM;SE;0.280917257
2022;222541;Masculino;35 a 44;38;Fund. 1 completo;Conhece mais ou menos;Nunca ouviu falar;Regular;nan;Regular;nan;Interior;Trabalha;Até 1 SM;SE;0.280917257
2022;222542;Masculino;60 ou mais;63;Fund. 1 completo;Conhece só de ouvir falar;Nunca ouviu falar;Ótima;nan;Regular;nan;Interior;Não trabalha;Até 1 SM;SE;0.280917257
2022;222543;Masculino;60 ou mais;75;Fund. 1 completo;Nunca ouviu falar;Nunca ouviu falar;nan;nan;nan;nan;Interior;Não trabalha;Até 1 SM;SE;0.280917257
2022;222544;Masculino;45 a 59;59;Fund. 1 completo;Nunca ouviu falar;Nunca ouviu falar;nan;nan;nan;nan;Interior;Não trabalha;Até 1 SM;SE;0.280917257
2022;222545;Feminino;60 ou mais;68;Fund. 1 completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Ótima;Boa;Não sabe;Boa;Interior;Não trabalha;Até 1 SM;SE;0.398611872
2022;222546;Feminino;60 ou mais;70;Fund. 1 completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Boa;Boa;Boa;Boa;Região metropolitana;Não trabalha;Até 1 SM;SE;0.398611872
2022;222547;Feminino;45 a 59;58;Fund. 1 completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Ótima;nan;Regular;Capital;Não trabalha;Até 1 SM;SE;0.398611872
2022;222548;Feminino;45 a 59;56;Fund. 1 completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Ótima;nan;Boa;Capital;Trabalha;Até 1 SM;SE;0.398611872
2022;222549;Feminino;35 a 44;44;Fund. 1 completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Boa;nan;Não sabe;Interior;Trabalha;Até 1 SM;SE;0.398611872
2022;222550;Masculino;60 ou mais;69;Fund. 1 completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Regular;nan;Regular;Interior;Não trabalha;Até 1 SM;SE;0.280917257
2022;222551;Feminino;35 a 44;38;Fund. 2 completo;Conhece só de ouvir falar;Nunca ouviu falar;Não sabe;nan;Não sabe;nan;Interior;Não trabalha;Até 1 SM;SE;0.398611872
2022;222552;Masculino;35 a 44;38;Fund. 2 completo;Conhece só de ouvir falar;Nunca ouviu falar;Ótima;nan;Péssima;nan;Interior;Não trabalha;Até 1 SM;SE;0.280917257
2022;222553;Feminino;25 a 34;32;Fund. 2 completo;Nunca ouviu falar;Nunca ouviu falar;nan;nan;nan;nan;Interior;Trabalha;Até 1 SM;SE;0.398611872
2022;222554;Feminino;45 a 59;46;Fund. 2 completo;Conhece mais ou menos;Conhece só de ouvir falar;Ótima;Ótima;Boa;Boa;Interior;Não trabalha;Até 1 SM;SE;0.398611872
2022;222555;Masculino;35 a 44;35;Fund. 2 completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Boa;Boa;Boa;Boa;Interior;Trabalha;Até 1 SM;SE;0.280917257
2022;222556;Masculino;60 ou mais;65;Fund. 2 completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Boa;Boa;Boa;Boa;Capital;Trabalha;Até 1 SM;SE;0.280917257
2022;222557;Feminino;45 a 59;47;Fund. 2 completo;Conhece só de ouvir falar;Conhece só de ouvir falar;Boa;Ótima;Boa;Ótima;Capital;Não trabalha;Até 1 SM;SE;0.398611872
2022;222558;Masculino;16 a 24;24;Fund. 2 completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Boa;nan;Boa;Interior;Trabalha;Até 1 SM;SE;0.280917257
2022;222559;Masculino;25 a 34;32;Fund. 2 completo;Nunca ouviu falar;Conhece só de ouvir falar;nan;Não sabe;nan;Boa;Interior;Trabalha;Até 1 SM;SE;0.280917257
2022;222560;Masculino;45 a 59;55;Fund. 2 completo;Conhece mais ou menos;Conhece mais ou menos;Não sabe;Ótima;Não sabe;Ótima;Capital;Não trabalha;Até 1 SM;SE;0.280917257
2022;222561;Masculino;35 a 44;35;Fund. 2 completo;Conhece só de ouvir falar;Conhece mais ou menos;Péssima;Regular;Péssima;Péssima;Capital;Não trabalha;Até 1 SM;SE;0.280917257
2022;222562;Feminino;25 a 34;28;Fund. 2 completo;Nunca ouviu falar;Conhece mais ou menos;nan;Regular;nan;Regular;Interior;Não trabalha;Até 1 SM;SE;0.398611872
