ano;id;p2;p3;p5;p6;abord;p7_1;p7_1_1;p7_1_2;p7_1_3;p7_1_4;p7_1_5;p7_1_6;p7_1_7;p7_1_8;p7_1_9;p7_1_10;p7_1_11;p7_1_12;p7_2;p7_2_1;p7_2_2;p7_2_3;p7_2_4;p7_2_5;p7_2_6;p7_2_7;p7_2_8;p7_2_9;p7_2_10;p7_2_11;p7_3;p7_3_1;p7_3_2;p7_3_3;p7_3_4;p7_3_5;p7_3_6;p8_1;p8_2;p8_3;p8_4;p8_5;p8_6;p8_7;p9_1;p9_2;p9_3;p9_4;p9_5;p9_6;p9_7;p9_8;p9_9;p9_10;p10;p11;p12_1;p12_2;p12_3;p12_4;p12_5;p12_6;p12_7;p13_1;p13_2;p13_3;p14_1;p14_2;p14_3;p14_4;p14_5;p14_6;p14_7;p15_1;p15_2;p15_3;p15_4;p15_5;p15_6;p15_7;p15_8;p15_9;p15_10;p15_11;p15_12;p16;p17;p18;p19;peso
2023;62634661;Pequena;Sudeste;Assistente de RH / Auxiliar de RH/ Auxiliar Adm de RH/ Assist DP e RH;De 20 a 99 funcionários;Educação Profissional e Educação Superior;SENAI;ETEC;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;SENAI;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;SENAI;UNISET;nan;nan;nan;nan;nan;SENAC;PAULA SOUZA;Instituto Federal;nan;nan;nan;nan;SENAI;PAULA SOUZA;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;Capacitação/aprendizado/treinamento/maior qualificação/palestras/cursos/palestras/atualização/ensino/aperfeiçoam;Menor aprendiz/capacitação de jovens;nan;nan;nan;nan;nan;5;5;4;5;5;4;5;4;4;Não sabe;5;5;Certamente contrataria seus serviços;Provavelmente poderia contratar estes profissionais;Certamente poderia contratar seus serviços;Provavelmente poderia contratar estes profissionais;1.32708
2023;62633754;Grande;Sudeste;Gerente de RH/ DHO / Gerente de Desenvolvimento Humano;500 ou mais funcionários;Educação Profissional e Educação Superior;Outras;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;ANHANGUERA;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;UNIP;SENAI;SENAC;Outras;UNESP;nan;nan;PAULA SOUZA;Instituto Federal;nan;nan;nan;nan;nan;PAULA SOUZA;UNIP;nan;nan;nan;nan;nan;nan;nan;nan;PAULA SOUZA;Instituto Federal;Menor aprendiz /formação dos jovens;Qualidade do ensino/bom método de ensino/tem metodologia específica/segue grade de ensino, currículo escolar/...;Compromissado/comprometimento;Crescimento profissional, começa estagiário até gerencia;nan;nan;nan;Pela localizacao e distante de onde esta a empresa;nan;nan;Tem organização de turnos/carga horária legal, é notumo e o nosso pessoal consegue fazer os cursos;Bons profissionais/quadro de profissionais com experiência/profissionalismo;nan;nan;nan;nan;nan;5;Não sabe;5;4;5;5;5;5;5;5;5;5;Certamente contrataria seus serviços;Certamente poderia contratar estes profissionais;Certamente poderia contratar seus serviços;Certamente poderia contratar estes profissionais;0.33274
2023;62632540;Pequena;Sudeste;Analista de RH;De 20 a 99 funcionários;Educação Profissional;SENAI;SESI;IEL;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;Outras;Outras;UCS;nan;nan;nan;nan;nan;nan;nan;nan;nan;Outras;Outras;nan;nan;nan;nan;nan;SENAC;SEBRAE;SENAT;Instituto Federal;nan;nan;nan;SENAI;SENAC;SENAT;Instituto Federal;SESI;IEL;nan;nan;nan;nan;SENAI;NENHUMA / NÃO SABE;Ensina/capacita/qualifica/melhor formação/melhor qualidade dos candidatos/desenvolvimento/profissionais qualidade;Diversidade de cursos/gama de opções/cursos variados;nan;nan;nan;nan;nan;nan;nan;nan;Cursos técnicos/cursos profissionalizantes/Forma para o mercado de trabalho/cursos para a indústria/ex: tecnolog;nan;nan;nan;nan;nan;nan;Não sabe;5;5;5;4;5;5;4;4;4;3;4;Certamente contrataria seus serviços;Certamente poderia contratar estes profissionais;Provavelmente poderia contratar seus serviços;Provavelmente poderia contratar estes profissionais;1.32708
2023;62640063;Média;Sudeste;Gerente de RH/ DHO / Gerente de Desenvolvimento Humano;De 100 a 499 funcionários;Educação Superior;SENAI;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;SENAC;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;SENAC;SENAI;nan;nan;nan;nan;nan;UNIP;PUC;ANHANGUERA;ESTÁCIO;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;SENAC;NENHUMA / NÃO SABE;Voltado para area industrial;nan;nan;nan;nan;nan;nan;nan;nan;nan;Capacitação/aprendizado/treinamento/maior qualificação/palestras/cursos/palestras/atualização/ensino/aperfeiçoam;nan;nan;nan;nan;nan;nan;5;5;5;5;5;5;5;5;5;5;5;5;Certamente contrataria seus serviços;Certamente poderia contratar estes profissionais;Certamente poderia contratar seus serviços;Provavelmente poderia contratar estes profissionais;0.89405
2023;62633366;Média;Sudeste;Gerente de RH/ DHO / Gerente de Desenvolvimento Humano;De 20 a 99 funcionários;Educação Profissional;SENAI;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;SENAI;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;SENAC;SEBRAE;SENAT;nan;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;Cursos técnicos/cursos profissionalizantes/Forma para o mercado de trabalho/cursos para a indústria/ex: tecnolog;nan;nan;nan;nan;nan;nan;Não sabe;Não sabe;Não sabe;Não sabe;Não sabe;Não sabe;Não sabe;Não sabe;Não sabe;Não sabe;Não sabe;5;Provavelmente contrataria seus serviços;Provavelmente poderia contratar estes profissionais;Provavelmente poderia contratar seus serviços;Provavelmente poderia contratar estes profissionais;0.89405
2023;62639596;Média;Sudeste;Gerente de DP/ Administrativo/ Chefe DP/ Gerente Administrativo/ Gerente Geral/ Lider de processo adm;500 ou mais funcionários;Educação Profissional;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;Outras;UNOPAR;nan;nan;nan;nan;nan;SENAI;SENAC;SEBRAE;SENAT;Instituto Federal;nan;nan;SENAI;SEBRAE;Instituto Federal;nan;nan;nan;nan;nan;nan;nan;Instituto Federal;NENHUMA / NÃO SABE;Qualidade do ensino/bom método de ensino/tem metodologia específica/segue grade de ensino, currículo escolar/...;Inovação/atualizados, novas performances, novidades/mais atualizada/;Inserção no mercado de trabalho/oportunidades de emprego;nan;nan;nan;nan;nan;nan;nan;Cursos técnicos/cursos profissionalizantes/Forma para o mercado de trabalho/cursos para a indústria/ex: tecnolog;Menor aprendiz/capacitação de jovens;Gera empregos/inclusão das pessoas no mercado de trabalho/disponibilidade de alunos para estágio/saem empregado;nan;nan;nan;nan;Não sabe;4;4;3;4;5;4;5;4;5;5;4;Provavelmente contrataria seus serviços;Certamente poderia contratar estes profissionais;Provavelmente poderia contratar seus serviços;Provavelmente poderia contratar estes profissionais;0.89405
2023;62631987;Pequena;Sudeste;Gerente de DP/ Administrativo/ Chefe DP/ Gerente Administrativo/ Gerente Geral/ Lider de processo adm;De 20 a 99 funcionários;Educação Superior;Outras;SENAC;Outras;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;SECONF;CRCMS;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;SENAC;SECONF;CRCMS;nan;nan;nan;nan;SENAI;UNIP;PUC;ANHANGUERA;nan;nan;nan;SECONF;CRCMS;nan;nan;nan;nan;nan;nan;nan;nan;SENAI;NENHUMA / NÃO SABE;Cursos técnicos/profissionalizantes/profissionaliza para mercado de trabalho/voltada p industria/formação profiss;Voltado para area industrial;Credibilidade/confiável;nan;nan;nan;nan;nan;nan;nan;Reconhecida/forte na região/referência/escola renomada, conceituada/boa aceitação/certificado de relevância;Variedade de cursos;nan;nan;nan;nan;nan;5;5;5;5;4;5;4;4;5;4;5;5;Provavelmente contrataria seus serviços;Provavelmente poderia contratar estes profissionais;Provavelmente poderia contratar seus serviços;Provavelmente poderia contratar estes profissionais;1.32708
2023;62637323;Pequena;Sudeste;Coordenador de RH/ DHO / Coordenador de DHO /Coordenadora de Treinamento/ Supevisor de RH;De 100 a 499 funcionários;Educação Profissional;SEBRAE;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;SENAI;nan;nan;nan;nan;nan;nan;SENAI;SEBRAE;nan;nan;nan;nan;nan;nan;nan;nan;SENAI;NENHUMA / NÃO SABE;Ensina/capacita/qualifica/melhor formação/melhor qualidade dos candidatos/desenvolvimento/profissionais qualidade;Diversidade de cursos/gama de opções/cursos variados;É séria/seriedade;nan;nan;nan;nan;nan;nan;nan;Trabalho sério/seriedade/instituição séria;Cursos técnicos/cursos profissionalizantes/Forma para o mercado de trabalho/cursos para a indústria/ex: tecnolog;Variedade de cursos;nan;nan;nan;nan;5;5;5;5;5;5;5;5;4;5;5;5;Certamente contrataria seus serviços;Certamente poderia contratar estes profissionais;Provavelmente poderia contratar seus serviços;Certamente poderia contratar estes profissionais;1.32708
2023;62633477;Pequena;Sudeste;Analista de RH;De 20 a 99 funcionários;Educação Profissional e Educação Superior;SENAI;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;Outras;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;SENAI;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;SENAC;PAULA SOUZA;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;Capacitação/aprendizado/treinamento/maior qualificação/palestras/cursos/palestras/atualização/ensino/aperfeiçoam;Variedade de cursos;nan;nan;nan;nan;nan;2;2;2;2;2;2;1;2;2;1;2;2;Provavelmente contrataria seus serviços;Provavelmente poderia contratar estes profissionais;Provavelmente poderia contratar seus serviços;Provavelmente poderia contratar estes profissionais;1.32708
2023;62632752;Pequena;Sudeste;Assistente de RH / Auxiliar de RH/ Auxiliar Adm de RH/ Assist DP e RH;De 20 a 99 funcionários;Educação Superior;SENAI;SENAC;Outras;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;UNIP;ANHANGUERA;ESTÁCIO;Instituto Federal;nan;nan;nan;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;NENHUMA / NÃO SABE;NENHUMA / NÃO SABE;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;Capacitação/aprendizado/treinamento/maior qualificação/palestras/cursos/palestras/atualização/ensino/aperfeiçoam;Cursos técnicos/cursos profissionalizantes/Forma para o mercado de trabalho/cursos para a indústria/ex: tecnolog;Boa formação prática/colocar a teoria na prática /oferece teoria e prática;nan;nan;nan;nan;3;4;4;4;4;3;4;4;4;4;3;4;Certamente contrataria seus serviços;Provavelmente poderia contratar estes profissionais;Provavelmente poderia contratar seus serviços;Provavelmente poderia contratar estes profissionais;1.32708
